epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.275,0.67981,0.54965,1.02637,0.98976,0.99001,0.99127,0.90442,0.47773,0.29927,0.90384,0.000371313,0.000371313,0.000371313
43,185.379,0.69258,0.5333,1.03655,0.98188,0.98476,0.99085,0.87308,0.56069,0.31236,0.93213,0.000365125,0.000365125,0.000365125
44,189.34,0.69827,0.5225,1.00968,0.97776,0.98045,0.99061,0.84245,0.64042,0.33706,0.96341,0.000358938,0.000358938,0.000358938
45,193.301,0.72693,0.56622,1.05805,0.99038,0.98764,0.99121,0.88265,0.54088,0.30466,0.92306,0.00035275,0.00035275,0.00035275
46,197.264,0.65114,0.49885,0.99779,0.99066,0.98974,0.99126,0.83673,0.65862,0.31801,0.96109,0.000346563,0.000346563,0.000346563
47,201.216,0.68388,0.52112,1.03244,0.9898,0.98794,0.99115,0.84529,0.62736,0.30708,0.94767,0.000340375,0.000340375,0.000340375
48,205.169,0.64744,0.49358,1.01647,0.99352,0.98903,0.9914,0.88272,0.53625,0.28672,0.90883,0.000334188,0.000334188,0.000334188
49,209.137,0.70893,0.51348,1.03372,0.99341,0.98629,0.99171,0.89059,0.52677,0.2841,0.91078,0.000328,0.000328,0.000328
50,213.105,0.70963,0.54907,1.04367,0.99248,0.98905,0.9914,0.79483,0.76817,0.3336,1.01264,0.000321812,0.000321812,0.000321812
51,217.068,0.71668,0.53281,1.04458,0.99121,0.99058,0.99145,0.85275,0.65463,0.31806,0.98921,0.000315625,0.000315625,0.000315625
52,221.024,0.67839,0.51268,1.03601,0.98916,0.98974,0.99138,0.88277,0.55876,0.30294,0.93847,0.000309437,0.000309437,0.000309437
53,224.981,0.69531,0.49862,1.03094,0.98928,0.98499,0.99136,0.90175,0.47976,0.2791,0.9048,0.00030325,0.00030325,0.00030325
54,228.956,0.65929,0.47937,1.01462,0.98824,0.98906,0.99137,0.85328,0.65415,0.30988,0.9559,0.000297063,0.000297063,0.000297063
55,233.013,0.60277,0.46128,0.98848,0.99418,0.99085,0.99172,0.86821,0.55385,0.27063,0.92363,0.000290875,0.000290875,0.000290875
56,236.968,0.667,0.48927,1.03364,0.99227,0.99035,0.99167,0.85581,0.59192,0.28734,0.92622,0.000284688,0.000284688,0.000284688
57,240.934,0.63995,0.48553,1.00998,0.9939,0.99045,0.99153,0.89738,0.47503,0.25334,0.88742,0.0002785,0.0002785,0.0002785
58,244.912,0.64903,0.47038,1.02161,0.99176,0.99031,0.99174,0.91588,0.45406,0.25053,0.88117,0.000272313,0.000272313,0.000272313
59,248.942,0.65719,0.47953,1.00831,0.99408,0.99024,0.9916,0.90557,0.48065,0.26064,0.89493,0.000266125,0.000266125,0.000266125
60,252.917,0.62317,0.47176,0.99722,0.99011,0.98861,0.99119,0.87877,0.55755,0.27913,0.92759,0.000259938,0.000259938,0.000259938
