epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.5909,1.14252,1.18601,0.94118,0.86285,0.92316,0.93412,0.61692,1.18444,0.9195,0.95234,0.000371313,0.000371313,0.000371313
43,72.9431,1.14263,1.15285,0.9389,0.84562,0.94158,0.94219,0.65081,1.07875,0.90516,0.90907,0.000365125,0.000365125,0.000365125
44,74.3293,1.141,1.12149,0.92278,0.84762,0.89397,0.9448,0.6504,1.06006,0.92185,0.90815,0.000358938,0.000358938,0.000358938
45,75.6739,1.10257,1.15774,0.93176,0.85492,0.87071,0.93006,0.61977,1.14298,0.96571,0.93269,0.00035275,0.00035275,0.00035275
46,77.1625,1.12087,1.10322,0.92956,0.87217,0.85573,0.92275,0.64902,1.06392,0.95958,0.91375,0.000346563,0.000346563,0.000346563
47,78.5284,1.13008,1.16547,0.94637,0.89274,0.88315,0.95041,0.66474,1.06033,0.87883,0.91112,0.000340375,0.000340375,0.000340375
48,79.9002,1.0768,1.1098,0.93004,0.92146,0.84965,0.94398,0.66125,1.04016,0.86926,0.90555,0.000334188,0.000334188,0.000334188
49,81.2425,1.05408,1.09696,0.91264,0.90923,0.8887,0.95428,0.66308,1.08127,0.85111,0.9166,0.000328,0.000328,0.000328
50,82.5824,1.10561,1.12212,0.93119,0.85961,0.92957,0.94466,0.67514,1.01787,0.86121,0.90162,0.000321812,0.000321812,0.000321812
51,83.9586,1.07589,1.0829,0.91898,0.87019,0.91663,0.94994,0.68031,0.99818,0.8579,0.89558,0.000315625,0.000315625,0.000315625
52,85.3434,1.092,1.03794,0.93206,0.90771,0.91352,0.9612,0.67049,1.03992,0.81234,0.91009,0.000309437,0.000309437,0.000309437
53,86.6917,1.04442,0.98998,0.91853,0.88298,0.89932,0.94912,0.66545,1.02587,0.85276,0.90215,0.00030325,0.00030325,0.00030325
54,88.162,1.02824,1.00232,0.90587,0.84673,0.9029,0.94608,0.66485,1.02583,0.88115,0.90033,0.000297063,0.000297063,0.000297063
55,89.5009,1.06447,1.00013,0.90285,0.88617,0.92877,0.95749,0.67319,1.03567,0.86695,0.90086,0.000290875,0.000290875,0.000290875
56,90.8527,1.09361,1.03162,0.92734,0.90277,0.9443,0.96916,0.69345,1.01527,0.80739,0.89701,0.000284688,0.000284688,0.000284688
57,92.2359,1.03866,0.97187,0.91866,0.90952,0.93913,0.96662,0.67423,1.08492,0.79422,0.91299,0.0002785,0.0002785,0.0002785
