epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0688,2.35476,4.36422,2.00916,0.0161,0.07651,0.0099,0.00444,1.86904,4.15483,1.53765,9.375e-05,9.375e-05,9.375e-05
2,18.6589,1.6203,4.17625,1.44258,0.03198,0.6726,0.06774,0.03567,1.23093,3.8858,1.08644,0.000191832,0.000191832,0.000191832
3,20.2027,1.22294,3.91879,1.2071,0.02568,0.83668,0.1026,0.05191,0.99639,3.9621,1.02765,0.000287934,0.000287934,0.000287934
4,21.755,1.15067,3.69148,1.1372,0.0265,0.92938,0.1422,0.07523,1.06883,3.83255,1.03751,0.000382056,0.000382056,0.000382056
5,23.2884,1.13598,3.52116,1.11085,0.02696,0.98906,0.23515,0.13659,1.29631,3.44044,1.06099,0.000474197,0.000474197,0.000474197
6,24.8227,1.07377,3.3671,1.0778,0.61466,0.20136,0.29023,0.13089,1.52149,3.41567,1.26319,0.000564359,0.000564359,0.000564359
7,26.2993,1.12681,3.17752,1.11335,0.4788,0.28488,0.32302,0.22391,1.06,2.82014,1.0032,0.000587875,0.000587875,0.000587875
8,27.7901,1.1257,3.0158,1.10348,0.45938,0.39234,0.38627,0.25275,1.16126,2.69534,1.06424,0.000581687,0.000581687,0.000581687
9,29.3073,1.0694,2.83832,1.08439,0.36722,0.49078,0.43343,0.28449,1.24358,2.43036,1.08603,0.0005755,0.0005755,0.0005755
10,30.7981,1.07094,2.66087,1.09749,0.31617,0.54106,0.46597,0.34574,0.98771,2.11318,1.0115,0.000569313,0.000569313,0.000569313
11,32.2881,1.03014,2.52136,1.08249,0.48267,0.47289,0.51521,0.36043,1.04921,2.0565,1.04792,0.000563125,0.000563125,0.000563125
12,33.7954,1.00176,2.37906,1.07896,0.38043,0.65319,0.57332,0.41624,0.98996,1.8839,1.03889,0.000556938,0.000556938,0.000556938
13,35.349,1.06335,2.33536,1.08973,0.50032,0.60417,0.61877,0.40321,1.13176,1.81954,1.08945,0.00055075,0.00055075,0.00055075
14,37.0057,1.02932,2.22947,1.06886,0.50791,0.65461,0.64273,0.47603,0.91396,1.73487,1.03885,0.000544563,0.000544563,0.000544563
15,38.5943,0.99759,2.13216,1.05834,0.59978,0.70955,0.71618,0.4517,1.13125,1.75142,1.0877,0.000538375,0.000538375,0.000538375
16,40.2127,1.03491,2.0833,1.06927,0.60027,0.73575,0.74516,0.55814,0.8418,1.55276,0.96936,0.000532187,0.000532187,0.000532187
17,41.7196,1.03843,2.05844,1.06218,0.67161,0.78169,0.76469,0.57099,0.8519,1.49835,0.98113,0.000526,0.000526,0.000526
18,43.2296,0.9734,1.96839,1.04476,0.72771,0.77381,0.79026,0.50911,1.10948,1.54844,1.05193,0.000519812,0.000519812,0.000519812
19,44.7426,0.99773,1.92113,1.07794,0.74567,0.80144,0.80441,0.59505,0.95865,1.40425,1.02886,0.000513625,0.000513625,0.000513625
20,46.236,0.941,1.8761,1.03981,0.77683,0.81978,0.82227,0.64074,0.83257,1.33178,0.98323,0.000507438,0.000507438,0.000507438
21,47.786,0.92163,1.7548,1.02862,0.78646,0.85277,0.86069,0.66157,0.84932,1.27481,0.98489,0.00050125,0.00050125,0.00050125
22,49.2796,0.92029,1.70241,1.02316,0.79791,0.89409,0.88455,0.67448,0.84969,1.24104,0.98529,0.000495063,0.000495063,0.000495063
23,50.7712,0.94045,1.69317,1.0354,0.82979,0.88075,0.89249,0.68865,0.84274,1.22834,0.98993,0.000488875,0.000488875,0.000488875
24,52.2295,0.91137,1.65902,1.03183,0.83752,0.89255,0.90434,0.72578,0.76394,1.09781,0.95114,0.000482687,0.000482687,0.000482687
25,53.705,0.89198,1.58141,1.02976,0.85976,0.89352,0.92092,0.70659,0.88483,1.08861,0.98771,0.0004765,0.0004765,0.0004765
26,55.1491,0.88413,1.54195,1.01187,0.87225,0.90208,0.92432,0.72074,0.82261,1.06202,0.96419,0.000470312,0.000470312,0.000470312
27,56.6017,0.85056,1.43807,0.99497,0.85761,0.90492,0.92806,0.75274,0.75771,1.04045,0.95984,0.000464125,0.000464125,0.000464125
28,58.0364,0.8822,1.46766,1.01378,0.87327,0.91088,0.94727,0.76115,0.77726,0.98285,0.9564,0.000457938,0.000457938,0.000457938
29,59.5551,0.86225,1.38604,1.00277,0.90885,0.92189,0.9595,0.78879,0.7268,0.89641,0.95425,0.00045175,0.00045175,0.00045175
30,61.0401,0.87767,1.45935,1.01183,0.9137,0.92607,0.95781,0.79097,0.70954,0.86773,0.93548,0.000445562,0.000445562,0.000445562
31,62.549,0.83564,1.39853,1.00246,0.89072,0.93846,0.95902,0.77859,0.73103,0.91071,0.93298,0.000439375,0.000439375,0.000439375
32,64.0412,0.8601,1.37249,1.00303,0.91208,0.94104,0.96562,0.80244,0.67763,0.87503,0.90496,0.000433187,0.000433187,0.000433187
33,65.6042,0.8298,1.3355,0.98866,0.93108,0.96249,0.969,0.79931,0.7229,0.81501,0.93327,0.000427,0.000427,0.000427
34,67.0716,0.85977,1.33498,1.01936,0.92513,0.95417,0.97172,0.79493,0.7199,0.85423,0.93507,0.000420812,0.000420812,0.000420812
35,68.6052,0.82828,1.30978,1.01089,0.94168,0.93938,0.97293,0.8289,0.63521,0.7911,0.91741,0.000414625,0.000414625,0.000414625
36,70.0731,0.79099,1.21184,0.99596,0.95045,0.95669,0.97573,0.80021,0.71646,0.77774,0.93593,0.000408438,0.000408438,0.000408438
37,71.6624,0.80536,1.22256,0.98186,0.96277,0.96285,0.98088,0.82018,0.6748,0.76776,0.929,0.00040225,0.00040225,0.00040225
38,73.1229,0.73409,1.12925,0.95929,0.96841,0.96622,0.98087,0.82289,0.65555,0.73321,0.9229,0.000396063,0.000396063,0.000396063
39,74.5572,0.82021,1.1937,1.00498,0.96564,0.97542,0.98326,0.81795,0.66502,0.70903,0.9295,0.000389875,0.000389875,0.000389875
40,75.9849,0.77577,1.15357,0.97866,0.96188,0.96844,0.98315,0.8181,0.68727,0.72646,0.93601,0.000383688,0.000383688,0.000383688
41,77.422,0.75606,1.05444,0.96127,0.96636,0.97773,0.98343,0.81028,0.68512,0.72912,0.92592,0.0003775,0.0003775,0.0003775
42,78.8737,0.82342,1.12254,0.9969,0.96895,0.97072,0.983,0.80317,0.7012,0.73589,0.92835,0.000371313,0.000371313,0.000371313
43,80.3285,0.78194,1.09077,0.97326,0.97519,0.97066,0.9849,0.83282,0.62659,0.69288,0.90667,0.000365125,0.000365125,0.000365125
