epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,284.421,1.05236,0.6992,0.95076,0.91429,0.93423,0.97178,0.63727,1.17659,0.61714,0.96692,0.000371313,0.000371313,0.000371313
43,290.803,1.04971,0.6786,0.94087,0.8577,0.91469,0.95076,0.67577,1.05755,0.69286,0.92918,0.000365125,0.000365125,0.000365125
44,297.181,1.03586,0.68856,0.92819,0.89896,0.93454,0.9668,0.67297,1.08268,0.62893,0.9354,0.000358938,0.000358938,0.000358938
45,303.569,1.02354,0.71024,0.9371,0.883,0.93184,0.95079,0.64345,1.15978,0.65179,0.96079,0.00035275,0.00035275,0.00035275
46,309.947,1.05062,0.69222,0.93944,0.91671,0.93333,0.96684,0.69744,1.01946,0.62736,0.91689,0.000346563,0.000346563,0.000346563
47,316.413,1.02694,0.71951,0.95516,0.90262,0.95166,0.97005,0.64824,1.17396,0.61454,0.9692,0.000340375,0.000340375,0.000340375
48,322.789,0.98193,0.66587,0.93858,0.924,0.97391,0.97434,0.7065,1.00831,0.55613,0.92413,0.000334188,0.000334188,0.000334188
49,329.258,0.98569,0.65101,0.9292,0.92292,0.95669,0.97137,0.63987,1.19645,0.60207,0.98102,0.000328,0.000328,0.000328
50,335.641,0.98919,0.6458,0.92751,0.92106,0.95454,0.97226,0.67414,1.12265,0.56755,0.95756,0.000321812,0.000321812,0.000321812
51,342.023,0.96238,0.6464,0.92577,0.95582,0.95596,0.98116,0.67976,1.1154,0.54011,0.95805,0.000315625,0.000315625,0.000315625
52,348.388,0.97082,0.6114,0.92797,0.94899,0.9386,0.9777,0.69462,1.04311,0.55103,0.92791,0.000309437,0.000309437,0.000309437
53,354.75,0.9736,0.58922,0.91998,0.93907,0.94008,0.97602,0.73099,0.92715,0.52498,0.89411,0.00030325,0.00030325,0.00030325
54,361.216,0.97533,0.57989,0.91575,0.93297,0.96921,0.97751,0.62316,1.2858,0.5883,1.0066,0.000297063,0.000297063,0.000297063
55,367.59,1.05144,0.59065,0.92744,0.93949,0.96556,0.97826,0.68406,1.11056,0.56411,0.94336,0.000290875,0.000290875,0.000290875
56,373.952,1.03538,0.60794,0.94869,0.92757,0.96284,0.9759,0.68299,1.08414,0.56165,0.93956,0.000284688,0.000284688,0.000284688
